,coefficients,p_values,std_error
Intercept,0.6798500963400388,7.472532988152704e-46,0.04588330442758674
talker[T.Female],-0.029055299517389704,0.20474097121539447,0.02019017992025831
audio_side[T.Right],-0.008579781345188291,0.49123794019759276,0.011717856737116126
intra_trial_F0_roving[T.1],-0.0022173241184053737,0.5442136218441311,0.012251219613604142
past_response_correct[T.1],-0.11663792382310793,3.0282146099978603e-06,0.02145922480569465
past_trial_was_catch[T.1],0.005148853490330204,0.6451666936968585,0.01349383040279627
F0[T.124 Hz],-0.03782932597908985,0.08205274010919233,0.018924950097045524
F0[T.144 Hz],-0.033531239266463155,0.09589967930448937,0.0185767500038077
F0[T.191 Hz],-0.15606304804058058,6.410590668878273e-07,0.02905437148149299
F0[T.251 Hz],-0.0439593537365446,0.17411332006231758,0.02849596001897738
time_since_trial_start,0.012756436455944237,0.004760120758214993,0.004388527541113212
trial_number,-0.0013232917114233353,2.708616252137434e-12,0.00018485859940821575
Group Var,0.019190015319056855,0.18156608442528915,0.01435487733489951
